"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Use your Power https://t.co/YAA9IlkwVF",FALSE,32529,NA,2019-05-06 09:11:52,FALSE,NA,"1125327309949390849",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",3526,FALSE,FALSE,NA,NA
"After getting used to IPL timing this is what happens if u have a morning flight https://t.co/3zWrBEWYob",FALSE,40685,NA,2019-04-10 04:36:51,FALSE,NA,"1115836014759694336",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",3937,FALSE,FALSE,NA,NA
"Just posted a video https://t.co/shFkwyluls",FALSE,35978,NA,2019-03-24 13:19:27,FALSE,NA,"1109806936097210370",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",4264,FALSE,FALSE,NA,NA
"As a kid whenever v got sand this was one thing v would do for sure https://t.co/EACnXxA34T",FALSE,41942,NA,2018-12-30 12:27:11,FALSE,NA,"1079353203966251008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",3476,FALSE,FALSE,NA,NA
"Were you wondering who the mystery icon panerai_india, @PaneraiOfficial and panerai_me were referring to? Guess no… https://t.co/iRTSH8W8yH",FALSE,23523,NA,2018-12-18 09:27:38,TRUE,NA,"1074959363662594049",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",1935,FALSE,FALSE,NA,NA
"Even better when we are dancing https://t.co/oyaPXOqVvo",FALSE,37159,NA,2018-12-02 14:36:04,FALSE,NA,"1069238775803494400",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",3879,FALSE,FALSE,NA,NA
"Greetings in two language https://t.co/C8uMUTEdZE",FALSE,35179,NA,2018-11-24 14:25:33,FALSE,NA,"1066337029041127424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",4373,FALSE,FALSE,NA,NA
"Ziva’s bugs bunny zivasinghdhoni006 https://t.co/1MLbleV52y",FALSE,24725,NA,2018-11-23 10:32:46,FALSE,NA,"1065916058475749376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",2551,FALSE,FALSE,NA,NA
"Great weather and Pubg.This headset feels so comfortable, I could wear it all day. Check out @soundlogic.in's Voice… https://t.co/LW2fqHeWc2",FALSE,51881,NA,2018-10-12 08:23:54,TRUE,NA,"1050663337464291329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msdhoni",6641,FALSE,FALSE,NA,NA
"A bit of hugging,training, catching practice and getting unconditional love in return.priceless https://t.co/cvslzWHWYI",FALSE,36981,NA,2018-08-24 07:41:22,FALSE,NA,"1032895627825475584",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","msdhoni",3162,FALSE,FALSE,NA,NA
